id	TP	FP	FN	TN	source	method	Accuracy	Balanced_Accuracy	Specificity	Sensitivity	F1	MCC
DeepCirCode_Chaabane2020	2501	2	12	851	Chaabane2020	DeepCirCode	0.995840760546643	0.992647988115305	0.999200958849381	0.995224830879427	0.997208931419458	0.989080801273628
DeepCirCode_NoChr	1532	0	2	756	NoChr	DeepCirCode	0.999126637554585	0.99868073878628	1	0.998696219035202	0.999347684279191	0.998028625172183
DeepCirCode_Wang2019	2510	3	3	850	Wang2019	DeepCirCode	0.998217468805704	0.997644604446095	0.998806207719857	0.998806207719857	0.998806207719857	0.99528920889219
DeepCirCode_lncRNA	2512	13	1	840	lncRNA	DeepCirCode	0.995840760546643	0.996831212253211	0.994851485148515	0.999602069239952	0.997221119491862	0.989001149716336
JEDI_Chaabane2020	615	18	72	835	Chaabane2020	JEDI	0.941558441558442	0.946090700554403	0.971563981042654	0.895196506550218	0.931818181818182	0.883091653131818
JEDI_NoChr	374	31	41	725	NoChr	JEDI	0.938514090520922	0.934965992972956	0.923456790123457	0.901204819277108	0.91219512195122	0.865052070073957
JEDI_Wang2019	614	31	73	822	Wang2019	JEDI	0.932467532467532	0.935186869343034	0.951937984496124	0.893740902474527	0.921921921921922	0.863861799543947
JEDI_lncRNA	654	225	33	628	lncRNA	JEDI	0.832467532467532	0.847051473359735	0.744027303754266	0.951965065502183	0.835249042145594	0.691140227014108
RandomForest_Chaabane2020	2037	226	476	627	Chaabane2020	RandomForest	0.79144385026738	0.734291125036006	0.900132567388422	0.81058495821727	0.853015075376885	0.505644289372733
RandomForest_NoChr	1507	533	27	223	NoChr	RandomForest	0.755458515283843	0.815362745098039	0.738725490196079	0.982398956975228	0.843312814773363	0.418265355078033
RandomForest_Wang2019	2445	573	68	280	Wang2019	RandomForest	0.809566250742721	0.807368433079683	0.81013916500994	0.972940708316753	0.88410775628277	0.43029642574245
RandomForest_lncRNA	2481	745	32	108	lncRNA	RandomForest	0.769162210338681	0.770246213798601	0.76906385616863	0.987266215678472	0.864610559330894	0.248093309929067
SVM_Chaabane2020	2381	10	132	843	Chaabane2020	SVM	0.957813428401664	0.930216517067207	0.99581764951903	0.947473139673697	0.971044045676998	0.897301537066838
SVM_NoChr	1501	183	33	573	NoChr	SVM	0.905676855895197	0.918437360363115	0.891330166270784	0.978487614080834	0.932877563704164	0.785044413679457
SVM_Wang2019	2455	185	58	668	Wang2019	SVM	0.927807486631016	0.925017217630854	0.929924242424242	0.97692001591723	0.952843004075296	0.803777848932601
SVM_lncRNA	2422	362	91	491	lncRNA	SVM	0.86541889483066	0.856806938025833	0.869971264367816	0.963788300835655	0.914479894279781	0.62042406391482
