circRNA			linear_1			linear_2
chr14:55612018-55619312:+	chr14:55601881-55612018	chr14:55619313-55627911
chr9:6880011-6893232:+	chr9:6849701-6880011	chr9:6893233-6980924
chr8:18799294-18804898:-	chr8:18765539-18799294	chr8:18804899-18867673
chr2:32377587-32416163:+	chr2:32357487-32377587	chr2:32416164-32429145
chr5:168488601-168497348:+	chr5:168486544-168488601	chr5:168497349-168500590
chr21:37420298-37430400:+	chr21:37415566-37420298	chr21:37430401-37472683
chr15:101235081-101235577:-	chr15:101188220-101235081	chr15:101235578-101251136
chrX:101101057-101109998:+	chrX:101100066-101101057	chrX:101109999-101120401
chr10:101792838-101810314:-	chr10:101791440-101792838	chr10:101810315-101813029
chr11:46493607-46508370:-	chr11:46443599-46493607	chr11:46508371-46541944
chr5:36953617-36976402:+	chr5:36877179-36953617	chr5:36976403-36995621
chr10:7220410-7276989:-	chr10:7205929-7220410	chr10:7276990-7283903
chr17:76902554-76906187:+	chr17:76882299-76902554	chr17:76906188-76924965
chr19:29971192-29986417:+	chr19:29942665-29971192	chr19:29986418-30005360
chr7:156756392-156826744:-	chr7:156734258-156756392	chr7:156826745-156833752
chr19:29985222-30012531:+	chr19:29980251-29985222	chr19:30012532-30018845
chr9:20819795-20823115:+	chr9:20789609-20819795	chr9:20823116-20862577
chr3:111913318-111920419:+	chr3:111885413-111913318	chr3:111920420-111939474
chr17:82563353-82568201:+	chr17:82520308-82563353	chr17:82568202-82571723
chr17:59731420-59738947:+	chr17:59707749-59731420	chr17:59738948-59764970
chr15:85113872-85115487:+	chr15:85113448-85113872	chr15:85115488-85115983
chr16:11721576-11736233:-	chr16:11700565-11721576	chr16:11736234-11742476
chr8:140879470-140890769:-	chr8:140864400-140879470	chr8:140890770-141001124
chr20:59190983-59207056:+	chr20:59164208-59190983	chr20:59207057-59252977
chr1:117402185-117414831:+	chr1:117397022-117402185	chr1:117414832-117420568
chr22:41808874-41810291:+	chr22:41801077-41808874	chr22:41810292-41813263
chr11:130260855-130261929:-	chr11:130239897-130260855	chr11:130261930-130314374
chr18:9182381-9221999:+	chr18:9137097-9182381	chr18:9222000-9254210
chr12:49097565-49098105:-	chr12:49091390-49097565	chr12:49098106-49100387
chr7:135577795-135593192:+	chr7:135577129-135577795	chr7:135593193-135594546
chr11:18291441-18292976:-	chr11:18288014-18291441	chr11:18292977-18295019
chr10:7243557-7285954:-	chr10:7242987-7243557	chr10:7285955-7367648
chr21:15014343-15043574:-	chr21:15011497-15014343	chr21:15043575-15064744
chr5:14316512-14336727:+	chr5:14311496-14316512	chr5:14336728-14358177
chr8:140864311-140890769:-	chr8:140861348-140864311	chr8:140890770-141001124
chr12:1104749-1116033:+	chr12:1083581-1104749	chr12:1116034-1141619
chr3:128262127-128264781:+	chr3:128247044-128262127	chr3:128264782-128341232
chr1:44757555-44758140:+	chr1:44756238-44757555	chr1:44758141-44759205
chr12:71626259-71629037:-	chr12:71624293-71626259	chr12:71629038-71629614
chr18:21765771-21779685:+	chr18:21741813-21765771	chr18:21779686-21791373
chr8:47279861-47294030:+	chr8:47260992-47279861	chr8:47294031-47440322
chr7:39987598-40002031:+	chr7:39951853-39987598	chr7:40002032-40045835
chr14:96846094-96860735:+	chr14:96837818-96846094	chr14:96860736-96876032
chr15:63529013-63563008:+	chr15:63504831-63529013	chr15:63563009-63570432
chr9:33953284-33996333:-	chr9:33948588-33953284	chr9:33996334-33998786
chr2:58198593-58232112:-	chr2:58194274-58198593	chr2:58232113-58241217
chr6:47283937-47286595:-	chr6:47253522-47283937	chr6:47286596-47309415
chr2:84870224-84870785:-	chr2:84842008-84870224	chr2:84870786-84880931
chr5:65451474-65473952:-	chr5:65334086-65451474	chr5:65473953-65481342
chr5:108348398-108367953:-	chr5:108224229-108348398	chr5:108367954-108380698
chr10:92637183-92645642:+	chr10:92633796-92637183	chr10:92645643-92648211
chr13:95832926-95837202:-	chr13:95801813-95832926	chr13:95837203-95853542
chr1:16201781-16202574:-	chr1:16199255-16201781	chr1:16202575-16204758
chr9:4823547-4833228:+	chr9:4793228-4823547	chr9:4833229-4834140
chr12:111513356-111520076:-	chr12:111510583-111513356	chr12:111520077-111520881
chr7:22960255-22991139:-	chr7:22947248-22960255	chr7:22991140-23013924
chrX:47846104-47895940:+	chrX:47842769-47846104	chrX:47895941-47914923
chr5:43122038-43139309:+	chr5:43121829-43122038	chr5:43139310-43161248
chr6:57207627-57210445:-	chr6:57196607-57207627	chr6:57210446-57222022
chr7:102158559-102178657:+	chr7:102115274-102158559	chr7:102178658-102189812
chr3:138570317-138572932:-	chr3:138537348-138570317	chr3:138572933-138591853
chr15:94356136-94402019:+	chr15:94345165-94356136	chr15:94402020-94458136
chr5:618989-620261:+	chr5:612444-618989	chr5:620262-633768
chr8:140818276-140890769:-	chr8:140809027-140818276	chr8:140890770-141001124
chr1:52509595-52526373:-	chr1:52497184-52509595	chr1:52526374-52552930
chr8:127140743-127162084:-	chr8:127140450-127140743	chr8:127162085-127174189
chr1:173992754-173993135:-	chr1:173984620-173992754	chr1:173993136-174022095
chr5:1488390-1501603:-	chr5:1483487-1488390	chr5:1501604-1523709
chr6:116689319-116692392:+	chr6:116681553-116689319	chr6:116692393-116698703
chr10:67954594-67966802:-	chr10:67946900-67954594	chr10:67966803-67990903
chr18:8624937-8638416:+	chr18:8609954-8624937	chr18:8638417-8639573
chr12:46229152-46243314:-	chr12:46209128-46229152	chr12:46243315-46268864
chr10:126970701-127000307:+	chr10:126961974-126970701	chr10:127000308-127008731
chr2:61482379-61490776:-	chr2:61481282-61482379	chr2:61490777-61492034
chr12:116985205-116988869:+	chr12:116964855-116985205	chr12:116988870-117010322
chr12:20637099-20654205:+	chr12:20635057-20637099	chr12:20654206-20680029
chr1:180984676-180993425:-	chr1:180976647-180984676	chr1:180993426-181002605
chr2:178535731-178542361:+	chr2:178531579-178535731	chr2:178542362-178571299
chr10:31373017-31387798:+	chr10:31358334-31373017	chr10:31387799-31461036
chr4:39913610-39925933:-	chr4:39910339-39913610	chr4:39925934-39927960
chr16:69695135-69695379:+	chr16:69694240-69695135	chr16:69695380-69696359
chr5:61472680-61494410:+	chr5:61332949-61472680	chr5:61494411-61521262
chr4:74174505-74201370:+	chr4:74158282-74174505	chr4:74201371-74225301
chr14:99458278-99465813:-	chr14:99413935-99458278	chr14:99465814-99480727
chr10:84438511-84477664:+	chr10:84425894-84438511	chr10:84477665-84513448
chr7:77109937-77113483:-	chr7:77109663-77109937	chr7:77113484-77119516
chr21:45128401-45144701:+	chr21:45120960-45128401	chr21:45144702-45160100
chr1:42265114-42323827:-	chr1:42227967-42265114	chr1:42323828-42335058
chr10:31373017-31387266:+	chr10:31358334-31373017	chr10:31387267-31461036
chr11:86022366-86031611:-	chr11:86014964-86022366	chr11:86031612-86069719
chr16:70463168-70463774:+	chr16:70454631-70463168	chr16:70463775-70465125
chr18:9931809-9937066:+	chr18:9927255-9931809	chr18:9937067-9950394
chr14:24266429-24268619:-	chr14:24265764-24266429	chr14:24268620-24268724
chr17:12081355-12095694:+	chr17:12054992-12081355	chr17:12095695-12107789
chr4:152411302-152412529:-	chr4:152350125-152411302	chr4:152412530-152534940
chr3:170136418-170149244:-	chr3:170129553-170136418	chr3:170149245-170171372
chr17:36509061-36511455:-	chr17:36507925-36509061	chr17:36511456-36513428
chr3:31576395-31580096:+	chr3:31533313-31576395	chr3:31580097-31596797
chr11:85974707-85983973:-	chr11:85960778-85974707	chr11:85983974-85996825
chr5:57246299-57251141:+	chr5:57241580-57246299	chr5:57251142-57261179
chr1:180397515-180413471:-	chr1:180314723-180397515	chr1:180413472-180430179
chr13:64002384-64034537:-	chr13:63990201-64002384	chr13:64034538-64075241
chr1:85350414-85358847:-	chr1:85324884-85350414	chr1:85358848-85464742
chr18:32111753-32113860:+	chr18:32092887-32111753	chr18:32113861-32124733
chr19:29985222-29986417:+	chr19:29980251-29985222	chr19:29986418-30005360
chr1:117402185-117442325:+	chr1:117397022-117402185	chr1:117442326-117460488
chr16:87748672-87762040:-	chr16:87741156-87748672	chr16:87762041-87765791
chr11:70354300-70356254:+	chr11:70348421-70354300	chr11:70356255-70362094
chr2:190659157-190673152:+	chr2:190656154-190659157	chr2:190673153-190685478
chr19:11120091-11120522:+	chr19:11116999-11120091	chr19:11120523-11123173
chr1:92333390-92380873:+	chr1:92324376-92333390	chr1:92380874-92387010
