chrNum	start	end	strand	corresponding_positive_circID
chr1	1158623	1159348	-	hsa_circ_21644
chr1	1192371	1192690	-	hsa_circ_15792
chr1	1601102	1601590	-	hsa_circ_0006454
chr1	1735857	1737977	-	hsa_circ_06041
chr1	1735857	1749314	-	hsa_circ_16706
chr1	1737913	1756938	-	hsa_circ_0004406
chr1	1747194	1756938	-	hsa_circ_04534
chr1	1735857	1756938	-	hsa_circ_0006869
chr1	1735857	1770677	-	hsa_circ_0005907
chr1	1747194	1770677	-	hsa_circ_11747
chr1	5987708	5993389	-	hsa_circ_0007804
chr1	5987708	6012896	-	hsa_circ_12542
chr1	6021853	6029319	-	hsa_circ_0009135
chr1	5964676	6046387	-	hsa_circ_0005661
chr1	6021853	6046387	-	hsa_circ_19889
chr1	6291961	6292179	-	hsa_circ_01991
chr1	6291961	6293703	-	hsa_circ_13141
chr1	6609630	6610675	-	hsa_circ_31786
chr1	6659106	6659512	-	hsa_circ_16895
chr1	6727768	6741097	-	hsa_circ_00342
chr1	8555122	8557589	-	hsa_circ_18367
chr1	8555122	8601377	-	hsa_circ_13474
chr1	8555122	8617582	-	hsa_circ_06579
chr1	8568685	8617582	-	hsa_circ_03393
chr1	8601272	8617582	-	hsa_circ_08098
chr1	8616533	8617582	-	hsa_circ_08899
chr1	8525984	8674745	-	hsa_circ_27589
chr1	8555122	8674745	-	hsa_circ_08278
chr1	8568685	8674745	-	hsa_circ_09259
chr1	8601272	8674745	-	hsa_circ_06796
chr1	8616533	8674745	-	hsa_circ_19016
chr1	8601272	8684439	-	hsa_circ_21251
chr1	8616533	8684439	-	hsa_circ_01444
chr1	8674619	8684439	-	hsa_circ_06751
chr1	8674619	8716500	-	hsa_circ_21108
chr1	9991948	9992956	-	hsa_circ_01911
chr1	9991948	9994918	-	hsa_circ_31394
chr1	9991948	9995685	-	hsa_circ_11549
chr1	10527246	10529395	-	hsa_circ_13291
chr1	11133990	11134383	-	hsa_circ_24194
chr1	11133990	11137005	-	hsa_circ_15620
chr1	11130956	11137005	-	hsa_circ_10118
chr1	11184554	11193254	-	hsa_circ_30587
chr1	12638745	12639440	-	hsa_circ_05017
chr1	12638745	12640694	-	hsa_circ_20251
chr1	15844604	15844890	-	hsa_circ_24043
chr1	16464347	16464925	-	hsa_circ_0005240
chr1	16528276	16529069	-	hsa_circ_27315
chr1	19510304	19511780	-	hsa_circ_0003777
chr1	19518681	19519034	-	hsa_circ_0006065
chr1	19519926	19523759	-	hsa_circ_07333
chr1	19683128	19684057	-	hsa_circ_10662
chr1	20063864	20073753	-	hsa_circ_0004067
chr1	21083658	21097566	-	hsa_circ_03322
chr1	21091869	21100103	-	hsa_circ_17097
chr1	21097422	21100103	-	hsa_circ_0005782
chr1	21076215	21100103	-	hsa_circ_0000023
chr1	21083658	21100103	-	hsa_circ_02507
chr1	21083658	21103243	-	hsa_circ_06961
chr1	21083658	21107033	-	hsa_circ_0002437
chr1	21220009	21221994	-	hsa_circ_08327
chr1	21220009	21231464	-	hsa_circ_0007214
chr1	21220009	21268823	-	hsa_circ_08351
chr1	21295966	21306941	-	hsa_circ_0005002
chr1	21295966	21307720	-	hsa_circ_0000025
chr1	21295966	21329301	-	hsa_circ_0005604
chr1	21377358	21415706	-	hsa_circ_04767
chr1	21329205	21415706	-	hsa_circ_0007991
chr1	21329205	21437876	-	hsa_circ_0007227
chr1	21377358	21437876	-	hsa_circ_02549
chr1	21415630	21437876	-	hsa_circ_06731
chr1	21548239	21554534	-	hsa_circ_0000027
chr1	21573713	21585332	-	hsa_circ_14576
chr1	21599191	21599404	-	hsa_circ_0008563
chr1	21599191	21605825	-	hsa_circ_0005509
chr1	21571481	21616649	-	hsa_circ_28972
chr1	21599191	21616649	-	hsa_circ_03173
chr1	22027990	22030111	-	hsa_circ_31806
chr1	22041881	22048257	-	hsa_circ_12590
chr1	22047528	22048257	-	hsa_circ_0004808
chr1	22074630	22078108	-	hsa_circ_00854
chr1	22073559	22079612	-	hsa_circ_06922
chr1	22074630	22079612	-	hsa_circ_25575
chr1	22173846	22175524	-	hsa_circ_0006155
chr1	24130889	24147083	-	hsa_circ_0004014
chr1	24140679	24147083	-	hsa_circ_0003757
chr1	24298062	24298502	-	hsa_circ_10175
chr1	24495906	24507344	-	hsa_circ_30037
chr1	27432375	27436268	-	hsa_circ_00815
chr1	27440316	27440777	-	hsa_circ_14543
chr1	27994736	27995857	-	hsa_circ_0002470
chr1	28233438	28233793	-	hsa_circ_0005866
chr1	28362054	28374937	-	hsa_circ_0008057
chr1	28362054	28384605	-	hsa_circ_27653
chr1	28907071	28907741	-	hsa_circ_0005174
chr1	28939758	28948677	-	hsa_circ_05074
chr1	28944464	28948677	-	hsa_circ_09699
chr1	29481207	29481422	-	hsa_circ_04689
chr1	31413997	31414970	-	hsa_circ_19182
chr1	31437520	31454252	-	hsa_circ_32913
chr1	31452908	31468067	-	hsa_circ_0002452
chr1	31465236	31468067	-	hsa_circ_05044
chr1	31465236	31479949	-	hsa_circ_17547
chr1	31478699	31479949	-	hsa_circ_0004949
chr1	31532050	31532424	-	hsa_circ_31771
chr1	31740717	31764853	-	hsa_circ_28139
chr1	31742004	31764853	-	hsa_circ_0007391
chr1	32375638	32377427	-	hsa_circ_0005674
chr1	32377296	32385259	-	hsa_circ_32289
chr1	32381495	32385259	-	hsa_circ_22452
chr1	33099245	33100393	-	hsa_circ_30130
chr1	33251962	33256855	-	hsa_circ_27908
chr1	33403997	33415375	-	hsa_circ_0005057
chr1	33407852	33415375	-	hsa_circ_0004013
chr1	33409619	33415375	-	hsa_circ_0005810
chr1	33413822	33415375	-	hsa_circ_31977
chr1	33625288	33625545	-	hsa_circ_02489
chr1	34204740	34209207	-	hsa_circ_26176
chr1	34254200	34276465	-	hsa_circ_12961
chr1	35932208	35944813	-	hsa_circ_05833
chr1	35936463	35944813	-	hsa_circ_02167
chr1	35944566	35944813	-	hsa_circ_0004660
chr1	36213507	36214205	-	hsa_circ_0003352
chr1	36823839	36824423	-	hsa_circ_14627
chr1	38047823	38049534	-	hsa_circ_0001987
chr1	38331432	38334286	-	hsa_circ_24304
chr1	38355228	38357126	-	hsa_circ_06699
chr1	40319641	40323089	-	hsa_circ_23610
chr1	40555081	40558179	-	hsa_circ_11723
chr1	41094481	41095044	-	hsa_circ_12644
chr1	41512078	41514562	-	hsa_circ_0007576
chr1	41512078	41541123	-	hsa_circ_16170
chr1	41536266	41541123	-	hsa_circ_12377
chr1	41578954	41582682	-	hsa_circ_32099
chr1	41578954	41608784	-	hsa_circ_05842
chr1	41578954	41627104	-	hsa_circ_0003751
chr1	42730785	42744343	-	hsa_circ_03825
chr1	42730785	42776781	-	hsa_circ_14879
chr1	42693553	42789498	-	hsa_circ_22521
chr1	44750506	44785416	-	hsa_circ_31032
chr1	44773981	44785416	-	hsa_circ_15033
chr1	44713610	44785416	-	hsa_circ_20437
chr1	44713610	44804994	-	hsa_circ_21617
chr1	44750506	44804994	-	hsa_circ_0007437
chr1	44773981	44804994	-	hsa_circ_00558
chr1	44778840	44804994	-	hsa_circ_26796
chr1	44785299	44804994	-	hsa_circ_27874
chr1	46099160	46108171	-	hsa_circ_0005361
chr1	46105881	46108171	-	hsa_circ_13567
chr1	46108098	46120991	-	hsa_circ_09386
chr1	46108098	46124814	-	hsa_circ_02924
chr1	46124699	46126897	-	hsa_circ_28797
chr1	46543186	46546422	-	hsa_circ_0003161
chr1	47725960	47726211	-	hsa_circ_10710
chr1	47745912	47748131	-	hsa_circ_08716
chr1	47753222	47765824	-	hsa_circ_0004280
chr1	47761436	47767420	-	hsa_circ_08501
chr1	47761436	47770668	-	hsa_circ_0005428
chr1	47767232	47776034	-	hsa_circ_0007322
chr1	48821341	48825442	-	hsa_circ_27756
chr1	48917223	48918803	-	hsa_circ_29118
chr1	50956259	51001129	-	hsa_circ_0008981
chr1	51001040	51050483	-	hsa_circ_16643
chr1	51032748	51061888	-	hsa_circ_00798
chr1	51121113	51210447	-	hsa_circ_0004619
chr1	51253671	51267349	-	hsa_circ_08211
chr1	51253671	51323669	-	hsa_circ_0003332
chr1	51868106	51874004	-	hsa_circ_31574
chr1	51869090	51874004	-	hsa_circ_29823
