chrNum	start	end	strand	circID	genomic.length	samples	gene.symbol	study.group.number
chr1	1158623	1159348	-	hsa_circ_21644	725	normal brain tissue,glioblastoma,oligodendroma,cd_19	SDF4	2
chr1	1192371	1192690	-	hsa_circ_15792	319	H9 hESCs,oligodendroma,Hs68	UBE2J2	3
chr1	1601102	1601590	-	hsa_circ_0006454	488	Hs68_RNase, Hs68_control, Huvec, Mcf7	SLC35E2B	2
chr1	1735857	1737977	-	hsa_circ_06041	2120	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68,leukocyte	GNB1	5
chr1	1735857	1749314	-	hsa_circ_16706	13457	H9 hESCs,normal brain tissue,glioblastoma	GNB1	2
chr1	1735857	1756938	-	hsa_circ_0006869	21081	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, Sknshra	GNB1	2
chr1	1735857	1770677	-	hsa_circ_0005907	34820	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	GNB1	2
chr1	1737913	1756938	-	hsa_circ_0004406	19025	Hs68_RNase, Hs68_control, K562, Helas3, Gm12878, Bj, Sknshra	GNB1	2
chr1	1747194	1756938	-	hsa_circ_04534	9744	H9 hESCs,normal brain tissue,cd_19,Hs68	GNB1	4
chr1	1747194	1770677	-	hsa_circ_11747	23483	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	GNB1	3
chr1	2066700	2082417	+	hsa_circ_25811	15717	H9 hESCs,normal brain tissue	PRKCZ	2
chr1	2066700	2087531	+	hsa_circ_10099	20831	H9 hESCs,normal brain tissue	PRKCZ	2
chr1	2234416	2236024	+	hsa_circ_15927	1608	H9 hESCs,glioblastoma,Hs68	SKI	3
chr1	4771959	4772759	+	hsa_circ_01723	800	H9 hESCs,glioblastoma	AJAP1	2
chr1	5964676	6046387	-	hsa_circ_0005661	81711	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, Mcf7	NPHP4	2
chr1	5987708	5993389	-	hsa_circ_0007804	5681	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, Bj, Ag04450, A549	NPHP4	2
chr1	5987708	6012896	-	hsa_circ_12542	25188	H9 hESCs,normal brain tissue	NPHP4	2
chr1	6021853	6029319	-	hsa_circ_0009135	7466	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, Bj, Ag04450, A549, Sknshra, Mcf7	NPHP4	2
chr1	6021853	6046387	-	hsa_circ_19889	24534	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	NPHP4	3
chr1	6291961	6292179	-	hsa_circ_01991	218	H9 hESCs,normal brain tissue	ICMT	2
chr1	6291961	6293703	-	hsa_circ_13141	1742	H9 hESCs,normal brain tissue,Hs68	ICMT	3
chr1	6609630	6610675	-	hsa_circ_31786	1045	normal brain tissue,Hs68	NOL9	2
chr1	6659106	6659512	-	hsa_circ_16895	406	H9 hESCs,normal brain tissue,glioblastoma,Hs68	KLHL21	3
chr1	6676816	6680397	+	hsa_circ_0000011	3581	cd_19, Hs68_RNase, Hs68_control, K562, H1hesc	PHF13	3
chr1	6727768	6741097	-	hsa_circ_00342	13329	H9 hESCs,normal brain tissue,glioblastoma,Hs68	DNAJC11	3
chr1	7837219	7838229	+	hsa_circ_18051	1010	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	VAMP3	3
